name,artist,id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,tempo,valence,sentiment,mood
4EVER,Clairo,5mIOsPuQdXchVY0jB5NO9Q,0.75,0.585,-7.576,0.0285,0.049,0.00552,0.155,102.331,0.584,0.5803,Calm
What A Wonderful World,Louis Armstrong,29U7stRjqHU6rMiS8BfaI9,0.271,0.165,-20.652,0.0351,0.729,1.6e-06,0.118,77.082,0.203,0.9856,Calm
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,4iJyoBOLtHqaGxP12qzhQI,0.677,0.696,-6.181,0.119,0.321,0.0,0.42,90.03,0.464,-0.9081,Calm
Dancing in My Room,347aidan,6Pgmqg15yVexuOgtzuxwoX,0.98,0.413,-11.052,0.101,0.671,7.95e-05,0.17,119.993,0.764,0.997,Calm
Tieduprightnow,Parcels,66tkDkPsznE5zIHNt4QkXB,0.863,0.533,-7.986,0.0484,0.291,0.00126,0.0794,102.025,0.738,0.4404,Calm
3 Nights,Dominic Fike,0uI7yAKUf52Cn7y3sYyjiX,0.815,0.518,-6.594,0.0897,0.223,0.0,0.104,151.891,0.877,0.1483,Calm
Nevermind,Dennis Lloyd,63SevszngYpZOwf63o61K4,0.6,0.688,-8.339,0.201,0.159,1.29e-05,0.409,99.977,0.0793,0.9627,Calm
Let's Fall in Love for the Night,FINNEAS,4pfhgOylRLcBll5JjUsJZj,0.737,0.408,-7.941,0.104,0.802,0.0,0.171,127.918,0.374,0.9743,Calm
From The Start,Laufey,43iIQbw5hx986dUEZbr3eN,0.664,0.405,-7.413,0.08,0.877,0.000765,0.11,81.89,0.743,0.965,Calm
Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),Felix Jaehn,3c8iiZGfEammKJuWTErE5x,0.778,0.566,-6.959,0.0311,0.672,0.000197,0.0698,117.971,0.479,0.978,Calm
Smokin Out The Window,Bruno Mars,3xVZYkcuWalGudeKl861wb,0.627,0.618,-8.529,0.0437,0.0558,0.0,0.351,82.03,0.848,0.8484,Calm
My Favorite Part,Mac Miller,66wkCYWlXzSTQAfnsPBptt,0.861,0.33,-7.194,0.0526,0.627,1.93e-06,0.14,95.016,0.718,0.9971,Calm
i'm so tired...,Lauv,7LpMG3AEaIJgs62HQhAa91,0.548,0.735,-7.572,0.236,0.173,0.0,0.195,101.252,0.498,0.9983,Calm
Shots - Broiler Remix,Imagine Dragons,0fsEFwLSJTSHSawhe864Cp,0.735,0.784,-7.128,0.0332,0.449,0.154,0.105,120.012,0.582,0.9729,Calm
The Scientist,Coldplay,75JFxkI2RXiU7L9VXzMkle,0.557,0.442,-7.224,0.0243,0.731,1.46e-05,0.11,146.277,0.213,-0.0701,Calm
Lose Control,Teddy Swims,17phhZDn6oGtzMe56NuWvj,0.561,0.604,-4.409,0.0337,0.199,1.9e-05,0.104,159.92,0.242,0.9576,Calm
