name,artist,id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,2MbdDtCv5LUVjYy9RuGTgC,0.904,0.723,-5.224,0.26,0.0631,0.0,0.185,0.835,145.013
Party Girl,StaySolidRocky,5RqR4ZCCKJDcBLIn4sih9l,0.728,0.431,-9.966,0.0622,0.749,0.0,0.0996,0.629,130.022
La Difícil,Bad Bunny,6NfrH0ANGmgBXyxgV2PeXt,0.685,0.848,-4.561,0.0858,0.0861,7.14e-06,0.0783,0.761,179.87
Roses - Imanbek Remix,SAINt JHN,2Wo6QQD1KMDWeFkkjLqwx5,0.785,0.721,-5.457,0.0506,0.0149,0.00432,0.285,0.894,121.962
Adore You,Harry Styles,3jjujdWJ72nww5eGnfs2E7,0.676,0.771,-3.675,0.0483,0.0237,7e-06,0.102,0.569,99.048
In Your Eyes,The Weeknd,7szuecWAPwGoV1e5vGu8tl,0.667,0.719,-5.371,0.0346,0.00285,8.1e-05,0.0736,0.717,100.021
Come & Go (with Marshmello),Juice WRLD,4Lxseh0wN7N0ljiOh8KwbU,0.625,0.811,-5.183,0.0659,0.0173,0.0,0.16,0.532,144.994
Supalonely (feat. Gus Dapperton),BENEE,3GZoWLVbmxcBys6g0DLFLf,0.862,0.631,-4.746,0.0515,0.291,0.000209,0.123,0.841,128.978
How You Like That,BLACKPINK,3vAn0qZzdyuHamcrpkfiX3,0.828,0.782,-4.014,0.0918,0.0694,3.41e-05,0.0544,0.351,130.013
Breaking Me,Topic,3H7ihDc1dqLriiWXwsc2po,0.789,0.72,-5.652,0.218,0.223,0.0,0.129,0.664,122.031
ily (i love you baby) (feat. Emilee),Surf Mesa,62aP9fBQKYKxi7PDXwcUAS,0.674,0.774,-7.567,0.0892,0.0686,0.00188,0.393,0.33,112.05
Good News,Mac Miller,1DWZUa5Mzf2BwzpHtgbHPY,0.794,0.32,-12.92,0.173,0.853,0.134,0.112,0.241,174.088
Therefore I Am,Billie Eilish,54bFM56PmE4YLRnqpW6Tha,0.889,0.34,-7.773,0.0697,0.218,0.13,0.055,0.716,94.009
Rare,Selena Gomez,7HMmFQsKsljwTw8bS7lu19,0.838,0.545,-6.713,0.0706,0.208,8.01e-05,0.103,0.631,114.998
Put Your Records On,Ritt Momney,6AGOKlMZWLCaEJGnaROtF9,0.399,0.491,-10.778,0.0538,0.0563,0.00089,0.11,0.151,91.066
Holy (feat. Chance The Rapper),Justin Bieber,5u1n1kITHCxxp8twBcZxWy,0.673,0.704,-8.056,0.36,0.196,0.0,0.0898,0.372,86.919
Hawái,Maluma,1yoMvmasuxZfqHEipJhRbp,0.783,0.727,-3.454,0.389,0.185,2.46e-05,0.0626,0.558,180.067
UN DIA (ONE DAY) (Feat. Tainy),J Balvin,0EhpEsp4L0oRGM0vmeaN5e,0.571,0.693,-8.234,0.0545,0.00536,0.0,0.173,0.393,168.169
Tusa,KAROL G,7k4t7uLgtOxPwTpFmtJNTY,0.803,0.715,-3.28,0.298,0.295,0.000134,0.0574,0.574,101.085
Savage Love (Laxed - Siren Beat),Jawsh 685,1xQ6trAsedVPCdbtDAmk0c,0.767,0.481,-8.52,0.0803,0.234,0.0,0.269,0.761,150.076
Prisoner (feat. Dua Lipa),Miley Cyrus,5JqZ3oqF00jkT81foAFvqg,0.781,0.67,-3.912,0.0452,0.0103,0.0,0.0761,0.595,127.99
my ex's best friend (with blackbear),mgk,70rFIfYN7lU6iTgUIVP42w,0.728,0.685,-5.096,0.0433,0.00391,0.0,0.152,0.33,124.934
Midnight Sky,Miley Cyrus,27ycaQnQAxaPiyeg3nr2aB,0.705,0.814,-5.466,0.0346,0.00115,0.00312,0.203,0.259,110.0
Don't Start Now,Dua Lipa,6WrI0LAC5M1Rw2MnX2ZvEg,0.794,0.793,-4.521,0.0842,0.0125,0.0,0.0952,0.677,123.941
RITMO (Bad Boys For Life),Black Eyed Peas,4NCsrTzgVfsDo8nWyP8PPc,0.723,0.704,-7.088,0.0571,0.0259,0.00109,0.792,0.684,105.095
POPSTAR (feat. Drake),DJ Khaled,6EDO9iiTtwNv6waLwa1UUq,0.8,0.56,-4.818,0.261,0.057,0.0,0.134,0.45,163.071
THE SCOTTS,THE SCOTTS,39Yp9wwQiSRIDOvrVg7mbk,0.716,0.537,-7.648,0.0514,0.233,0.0,0.157,0.28,129.979
Safaera,Bad Bunny,2DEZmgHKAvm41k4J3R2E9Y,0.607,0.829,-4.074,0.379,0.0103,0.0,0.107,0.685,96.172
Boss Bitch,Doja Cat,78qd8dvwea0Gosb6Fe6j3k,0.707,0.955,-4.593,0.222,0.127,0.0,0.202,0.575,125.989
Physical,Dua Lipa,3AzjcOeAmA57TIOr9zF1ZW,0.647,0.844,-3.756,0.0457,0.0137,0.000658,0.102,0.746,146.967
Head & Heart (feat. MNEK),Joel Corry,6cx06DFPPHchuUAcTxznu9,0.734,0.874,-3.158,0.0662,0.168,1.14e-05,0.0489,0.905,122.953
You should be sad,Halsey,7lidXGPXPYLNThITAOTlkK,0.591,0.585,-6.35,0.0277,0.143,0.0,0.109,0.324,110.94
No Time To Die,Billie Eilish,73SpzrcaHk0RQPFP73vqVR,0.38,0.219,-13.273,0.0358,0.917,0.0104,0.0827,0.0517,73.537
After Hours,The Weeknd,2p8IUWQDrpjuFltbdgLOag,0.664,0.572,-6.099,0.0305,0.0811,0.00604,0.121,0.143,108.959
Lonely (with benny blanco),Justin Bieber,4y4spB9m0Q6026KfkAvy9Q,0.631,0.239,-7.071,0.0398,0.864,0.0,0.116,0.0927,79.859
